trade_date,open,high,low,close,volume_lots,open_interest,prev_close,value_lakh,symbol,expiry_date
2020-01-01,68173.0,68440.0,67485.0,68000.0,15559,19471,68000.0,317403.6,SILVER,2020-02-05
2020-01-01,68203.0,68470.0,67515.0,68030.0,46677,19471,68030.0,158771.82,SILVERM,2020-02-05
2020-01-02,68501.0,68548.0,68248.0,68412.0,25157,16163,68000.0,516312.21,SILVER,2020-02-05
2020-01-02,68507.0,68554.0,68254.0,68418.0,75471,16163,68006.0,258178.74,SILVERM,2020-02-05
2020-01-03,68163.0,68860.0,67792.0,68319.0,11618,73087,68412.0,238119.04,SILVER,2020-02-05
2020-01-03,68209.0,68906.0,67838.0,68365.0,34854,73087,68458.0,119139.69,SILVERM,2020-02-05
2020-01-06,68826.0,69292.0,68664.0,68853.0,11780,72071,68319.0,243326.5,SILVER,2020-02-05
2020-01-06,68824.0,69290.0,68662.0,68851.0,35340,72071,68317.0,121659.72,SILVERM,2020-02-05
2020-01-07,70103.0,70943.0,69511.0,70104.0,32050,26065,68853.0,674049.96,SILVER,2020-02-05
2020-01-07,70091.0,70931.0,69499.0,70092.0,96150,26065,68841.0,336967.29,SILVERM,2020-02-05
2020-01-08,70014.0,70345.0,69436.0,69930.0,13015,58348,70104.0,273041.68,SILVER,2020-02-05
2020-01-08,70025.0,70356.0,69447.0,69941.0,39045,58348,70115.0,136542.32,SILVERM,2020-02-05
2020-01-09,69850.0,70105.0,69340.0,69757.0,8130,29154,69930.0,170137.32,SILVER,2020-02-05
2020-01-09,69823.0,70078.0,69313.0,69730.0,24390,29154,69903.0,85035.74,SILVERM,2020-02-05
2020-01-10,70966.0,71814.0,70686.0,71070.0,33083,30229,69757.0,705362.64,SILVER,2020-02-05
2020-01-10,71053.0,71901.0,70773.0,71157.0,99249,30229,69844.0,353113.05,SILVERM,2020-02-05
2020-01-13,71738.0,72375.0,71186.0,71726.0,21480,62587,71070.0,462202.34,SILVER,2020-02-05
2020-01-13,71779.0,72416.0,71227.0,71767.0,64440,62587,71111.0,231233.27,SILVERM,2020-02-05
2020-01-14,71417.0,71932.0,70702.0,71352.0,16528,59713,71726.0,353791.76,SILVER,2020-02-05
2020-01-14,71362.0,71877.0,70647.0,71297.0,49584,59713,71671.0,176759.52,SILVERM,2020-02-05
2020-01-15,72031.0,72097.0,71570.0,71822.0,10914,36997,71352.0,235159.59,SILVER,2020-02-05
2020-01-15,71994.0,72060.0,71533.0,71785.0,32742,36997,71315.0,117519.22,SILVERM,2020-02-05
2020-01-16,71553.0,71573.0,71280.0,71453.0,16179,31101,71822.0,346811.43,SILVER,2020-02-05
2020-01-16,71581.0,71601.0,71308.0,71481.0,48537,31101,71850.0,173473.66,SILVERM,2020-02-05
2020-01-17,71195.0,71195.0,70899.0,71083.0,25472,50391,71453.0,543187.85,SILVER,2020-02-05
2020-01-17,71204.0,71204.0,70908.0,71092.0,76416,50391,71462.0,271628.31,SILVERM,2020-02-05
2020-01-20,71313.0,71516.0,70899.0,71301.0,17076,69405,71083.0,365260.76,SILVER,2020-02-05
2020-01-20,71328.0,71531.0,70914.0,71316.0,51228,69405,71098.0,182668.8,SILVERM,2020-02-05
2020-01-21,69943.0,69943.0,69436.0,69746.0,29783,44948,71301.0,623173.54,SILVER,2020-02-05
2020-01-21,69933.0,69933.0,69426.0,69736.0,89349,44948,71291.0,311542.09,SILVERM,2020-02-05
2020-01-22,68431.0,68538.0,68154.0,68375.0,18824,63031,69746.0,386127.3,SILVER,2020-02-05
2020-01-22,68454.0,68561.0,68177.0,68398.0,56472,63031,69769.0,193128.59,SILVERM,2020-02-05
2020-01-23,67828.0,68496.0,67555.0,67945.0,9299,47921,68375.0,189546.17,SILVER,2020-02-05
2020-01-23,67820.0,68488.0,67547.0,67937.0,27897,47921,68367.0,94761.92,SILVERM,2020-02-05
2020-01-24,67354.0,67484.0,66548.0,67165.0,13118,38460,67945.0,264321.14,SILVER,2020-02-05
2020-01-24,67382.0,67512.0,66576.0,67193.0,39354,38460,67973.0,132215.67,SILVERM,2020-02-05
2020-01-27,67523.0,67826.0,67115.0,67428.0,15756,31071,67165.0,318718.67,SILVER,2020-02-05
2020-01-27,67562.0,67865.0,67154.0,67467.0,47268,31071,67204.0,159451.51,SILVERM,2020-02-05
2020-01-28,66676.0,67324.0,66087.0,66735.0,12953,76118,67428.0,259325.54,SILVER,2020-02-05
2020-01-28,66756.0,67404.0,66167.0,66815.0,38859,76118,67508.0,129818.2,SILVERM,2020-02-05
2020-01-29,65600.0,66034.0,65328.0,65663.0,20185,58282,66735.0,397622.3,SILVER,2020-02-05
2020-01-29,65574.0,66008.0,65302.0,65637.0,60555,58282,66709.0,198732.43,SILVERM,2020-02-05
2020-01-30,66850.0,66865.0,66757.0,66811.0,19674,68445,65663.0,394331.88,SILVER,2020-02-05
2020-01-30,66849.0,66864.0,66756.0,66810.0,59022,68445,65662.0,197162.99,SILVERM,2020-02-05
2020-01-31,66714.0,66881.0,66490.0,66652.0,38927,64816,66811.0,778368.72,SILVER,2020-02-05
2020-01-31,66653.0,66820.0,66429.0,66591.0,116781,64816,66750.0,388828.18,SILVERM,2020-02-05
2020-02-03,66748.0,67078.0,66243.0,66721.0,5386,13060,66652.0,107807.79,SILVER,2020-02-05
2020-02-03,66839.0,67169.0,66334.0,66812.0,16158,13060,66743.0,53977.41,SILVERM,2020-02-05
2020-02-04,65680.0,65808.0,65531.0,65639.0,31617,23731,66721.0,622592.48,SILVER,2020-02-05
2020-02-04,65581.0,65709.0,65432.0,65540.0,94851,23731,66622.0,310826.73,SILVERM,2020-02-05
2020-02-05,65463.0,65810.0,64625.0,65241.0,12192,30719,65639.0,238625.48,SILVER,2020-02-05
2020-02-05,65547.0,65894.0,64709.0,65325.0,36576,30719,65723.0,119466.36,SILVERM,2020-02-05
2020-02-06,65482.0,66249.0,64496.0,65342.0,15745,57042,65241.0,308642.94,SILVER,2020-02-05
2020-02-06,65487.0,66254.0,64501.0,65347.0,47235,57042,65246.0,154333.28,SILVERM,2020-02-05
2020-02-07,64512.0,65070.0,64035.0,64488.0,35020,59116,65342.0,677510.93,SILVER,2020-02-05
2020-02-07,64533.0,65091.0,64056.0,64509.0,105060,59116,65363.0,338865.78,SILVERM,2020-02-05
2020-02-10,64909.0,65037.0,64622.0,64787.0,26159,36325,64488.0,508428.94,SILVER,2020-02-05
2020-02-10,64901.0,65029.0,64614.0,64779.0,78477,36325,64480.0,254183.08,SILVERM,2020-02-05
2020-02-11,64219.0,65029.0,63627.0,64352.0,8409,32597,64787.0,162340.79,SILVER,2020-02-05
2020-02-11,64221.0,65031.0,63629.0,64354.0,25227,32597,64789.0,81172.92,SILVERM,2020-02-05
2020-02-12,64201.0,64342.0,63864.0,64150.0,30745,77439,64352.0,591687.52,SILVER,2020-02-05
2020-02-12,64230.0,64371.0,63893.0,64179.0,92235,77439,64381.0,295977.5,SILVERM,2020-02-05
2020-02-13,63949.0,64112.0,63359.0,63718.0,34455,24551,64150.0,658621.11,SILVER,2020-02-05
2020-02-13,63867.0,64030.0,63277.0,63636.0,103365,24551,64068.0,328886.76,SILVERM,2020-02-05
2020-02-14,65097.0,65264.0,64905.0,65126.0,34166,34278,63718.0,667528.47,SILVER,2020-02-05
2020-02-14,65064.0,65231.0,64872.0,65093.0,102498,34278,63685.0,333595.12,SILVERM,2020-02-05
2020-02-17,65022.0,65366.0,64849.0,65132.0,33072,25141,65126.0,646213.65,SILVER,2020-02-05
2020-02-17,64980.0,65324.0,64807.0,65090.0,99216,25141,65084.0,322898.47,SILVERM,2020-02-05
2020-02-18,64267.0,64712.0,64000.0,64351.0,17109,77913,65132.0,330294.38,SILVER,2020-02-05
2020-02-18,64289.0,64734.0,64022.0,64373.0,51327,77913,65154.0,165203.65,SILVERM,2020-02-05
2020-02-19,64845.0,65392.0,64667.0,64987.0,7484,43615,64351.0,145908.81,SILVER,2020-02-05
2020-02-19,64845.0,65392.0,64667.0,64987.0,22452,43615,64351.0,72954.41,SILVERM,2020-02-05
