trade_date,open,high,low,close,volume_lots,open_interest,prev_close,value_lakh,symbol,expiry_date
2020-01-01,68173.0,68440.0,67485.0,68000.0,15559,19471,68000.0,317403.6,SILVER,2020-02-05
2020-01-02,68501.0,68548.0,68248.0,68412.0,25157,16163,68000.0,516312.21,SILVER,2020-02-05
2020-01-03,68163.0,68860.0,67792.0,68319.0,11618,73087,68412.0,238119.04,SILVER,2020-02-05
2020-01-06,68826.0,69292.0,68664.0,68853.0,11780,72071,68319.0,243326.5,SILVER,2020-02-05
2020-01-07,70103.0,70943.0,69511.0,70104.0,32050,26065,68853.0,674049.96,SILVER,2020-02-05
2020-01-08,70014.0,70345.0,69436.0,69930.0,13015,58348,70104.0,273041.68,SILVER,2020-02-05
2020-01-09,69850.0,70105.0,69340.0,69757.0,8130,29154,69930.0,170137.32,SILVER,2020-02-05
2020-01-10,70966.0,71814.0,70686.0,71070.0,33083,30229,69757.0,705362.64,SILVER,2020-02-05
2020-01-13,71738.0,72375.0,71186.0,71726.0,21480,62587,71070.0,462202.34,SILVER,2020-02-05
2020-01-14,71417.0,71932.0,70702.0,71352.0,16528,59713,71726.0,353791.76,SILVER,2020-02-05
2020-01-15,72031.0,72097.0,71570.0,71822.0,10914,36997,71352.0,235159.59,SILVER,2020-02-05
2020-01-16,71553.0,71573.0,71280.0,71453.0,16179,31101,71822.0,346811.43,SILVER,2020-02-05
2020-01-17,71195.0,71195.0,70899.0,71083.0,25472,50391,71453.0,543187.85,SILVER,2020-02-05
2020-01-20,71313.0,71516.0,70899.0,71301.0,17076,69405,71083.0,365260.76,SILVER,2020-02-05
2020-01-21,69943.0,69943.0,69436.0,69746.0,29783,44948,71301.0,623173.54,SILVER,2020-02-05
2020-01-22,68431.0,68538.0,68154.0,68375.0,18824,63031,69746.0,386127.3,SILVER,2020-02-05
2020-01-23,67828.0,68496.0,67555.0,67945.0,9299,47921,68375.0,189546.17,SILVER,2020-02-05
2020-01-24,67354.0,67484.0,66548.0,67165.0,13118,38460,67945.0,264321.14,SILVER,2020-02-05
2020-01-27,67523.0,67826.0,67115.0,67428.0,15756,31071,67165.0,318718.67,SILVER,2020-02-05
2020-01-28,66676.0,67324.0,66087.0,66735.0,12953,76118,67428.0,259325.54,SILVER,2020-02-05
2020-01-29,65600.0,66034.0,65328.0,65663.0,20185,58282,66735.0,397622.3,SILVER,2020-02-05
2020-01-30,66850.0,66865.0,66757.0,66811.0,19674,68445,65663.0,394331.88,SILVER,2020-02-05
2020-01-31,66714.0,66881.0,66490.0,66652.0,38927,64816,66811.0,778368.72,SILVER,2020-02-05
2020-02-03,66748.0,67078.0,66243.0,66721.0,5386,13060,66652.0,107807.79,SILVER,2020-02-05
2020-02-04,65680.0,65808.0,65531.0,65639.0,31617,23731,66721.0,622592.48,SILVER,2020-02-05
2020-02-05,65463.0,65810.0,64625.0,65241.0,12192,30719,65639.0,238625.48,SILVER,2020-02-05
2020-02-06,65482.0,66249.0,64496.0,65342.0,15745,57042,65241.0,308642.94,SILVER,2020-02-05
2020-02-07,64512.0,65070.0,64035.0,64488.0,35020,59116,65342.0,677510.93,SILVER,2020-02-05
2020-02-10,64909.0,65037.0,64622.0,64787.0,26159,36325,64488.0,508428.94,SILVER,2020-02-05
2020-02-11,64219.0,65029.0,63627.0,64352.0,8409,32597,64787.0,162340.79,SILVER,2020-02-05
2020-02-12,64201.0,64342.0,63864.0,64150.0,30745,77439,64352.0,591687.52,SILVER,2020-02-05
2020-02-13,63949.0,64112.0,63359.0,63718.0,34455,24551,64150.0,658621.11,SILVER,2020-02-05
2020-02-14,65097.0,65264.0,64905.0,65126.0,34166,34278,63718.0,667528.47,SILVER,2020-02-05
2020-02-17,65022.0,65366.0,64849.0,65132.0,33072,25141,65126.0,646213.65,SILVER,2020-02-05
2020-02-18,64267.0,64712.0,64000.0,64351.0,17109,77913,65132.0,330294.38,SILVER,2020-02-05
2020-02-19,64845.0,65392.0,64667.0,64987.0,7484,43615,64351.0,145908.81,SILVER,2020-02-05
2020-02-20,63985.0,64404.0,63748.0,64085.0,39622,72751,64987.0,761752.76,SILVER,2020-02-05
2020-02-21,64211.0,64583.0,63968.0,64258.0,18992,37452,64085.0,366116.38,SILVER,2020-02-05
2020-02-24,62647.0,63374.0,62482.0,62824.0,22457,32725,64258.0,423251.57,SILVER,2020-02-05
2020-02-25,61877.0,62300.0,61347.0,61875.0,55100,60391,62824.0,1022793.75,SILVER,2020-02-05
2020-02-26,62145.0,62698.0,61399.0,62033.0,88885,21698,61875.0,1654140.96,SILVER,2020-02-05
2020-02-27,62472.0,62632.0,62472.0,62586.0,82290,12365,62033.0,1545060.58,SILVER,2020-02-05
2020-02-28,62918.0,62918.0,62635.0,62727.0,78430,53372,62586.0,1475903.58,SILVER,2020-02-05
2020-03-02,62723.0,63316.0,62093.0,62659.0,34048,54134,62727.0,640024.09,SILVER,2020-04-05
2020-03-03,62585.0,62585.0,62379.0,62456.0,24669,47823,62659.0,462218.12,SILVER,2020-04-05
2020-03-04,61324.0,61667.0,61190.0,61405.0,14777,11949,62456.0,272214.51,SILVER,2020-04-05
2020-03-05,61012.0,61012.0,60716.0,60908.0,25968,59396,61405.0,474497.68,SILVER,2020-04-05
2020-03-06,60466.0,60695.0,60466.0,60598.0,16292,41912,60908.0,296178.78,SILVER,2020-04-05
2020-03-09,61475.0,61787.0,60927.0,61366.0,18923,66947,60598.0,348368.65,SILVER,2020-04-05
2020-03-10,61650.0,62135.0,61116.0,61628.0,32703,54387,61366.0,604626.15,SILVER,2020-04-05
2020-03-11,60458.0,60541.0,60281.0,60391.0,23657,73965,61628.0,428600.97,SILVER,2020-04-05
2020-03-12,60493.0,60700.0,60493.0,60636.0,8629,26508,60391.0,156968.41,SILVER,2020-04-05
2020-03-13,60272.0,60496.0,60150.0,60380.0,7114,55592,60636.0,128863.0,SILVER,2020-04-05
2020-03-16,59993.0,60223.0,59531.0,59922.0,39445,11919,60380.0,709086.99,SILVER,2020-04-05
2020-03-17,60252.0,60454.0,60252.0,60367.0,30574,52595,59922.0,553698.2,SILVER,2020-04-05
2020-03-18,61169.0,61593.0,60922.0,61113.0,37349,19617,60367.0,684752.83,SILVER,2020-04-05
2020-03-19,61627.0,62172.0,61582.0,61796.0,27257,43298,61113.0,505312.07,SILVER,2020-04-05
2020-03-20,61314.0,61593.0,60601.0,61211.0,22973,16929,61796.0,421860.09,SILVER,2020-04-05
2020-03-23,60856.0,61507.0,60704.0,61007.0,30737,24456,61211.0,562551.65,SILVER,2020-04-05
2020-03-24,61327.0,61461.0,61101.0,61259.0,17047,47924,61007.0,313284.65,SILVER,2020-04-05
2020-03-25,62053.0,62729.0,61709.0,61976.0,27113,34240,61259.0,504106.59,SILVER,2020-04-05
2020-03-26,61561.0,61951.0,61499.0,61647.0,5694,19228,61976.0,105305.41,SILVER,2020-04-05
2020-03-27,61602.0,61764.0,61141.0,61530.0,20588,31686,61647.0,380033.89,SILVER,2020-04-05
2020-03-30,60789.0,60845.0,60582.0,60758.0,25067,21920,61530.0,456906.24,SILVER,2020-04-05
2020-03-31,59868.0,60234.0,59688.0,59933.0,11704,17432,60758.0,210436.75,SILVER,2020-04-05
2020-04-01,60397.0,60623.0,60392.0,60519.0,6971,73575,59933.0,126563.38,SILVER,2020-04-05
2020-04-02,61258.0,61730.0,61130.0,61500.0,16441,43910,60519.0,303336.45,SILVER,2020-04-05
2020-04-03,61507.0,62078.0,61083.0,61464.0,36476,40226,61500.0,672588.26,SILVER,2020-04-05
2020-04-06,62009.0,62312.0,62009.0,62204.0,19677,69099,61464.0,367196.43,SILVER,2020-04-05
2020-04-07,62495.0,62573.0,62405.0,62483.0,32818,28013,62204.0,615170.13,SILVER,2020-04-05
2020-04-08,61999.0,62390.0,61600.0,62031.0,6868,31446,62483.0,127808.67,SILVER,2020-04-05
2020-04-09,62394.0,62562.0,62098.0,62310.0,23055,72509,62031.0,430967.12,SILVER,2020-04-05
2020-04-10,63415.0,63700.0,63199.0,63453.0,6728,10557,62310.0,128073.54,SILVER,2020-04-05
2020-04-13,63401.0,64198.0,62860.0,63443.0,12632,40666,63453.0,240423.59,SILVER,2020-04-05
2020-04-14,64722.0,64919.0,64311.0,64628.0,17043,47389,63443.0,330436.5,SILVER,2020-04-05
2020-04-15,62743.0,63608.0,62132.0,62701.0,11403,57700,64628.0,214493.85,SILVER,2020-04-05
2020-04-16,63361.0,63886.0,63082.0,63321.0,20732,34578,62701.0,393831.29,SILVER,2020-04-05
2020-04-17,63461.0,63675.0,63213.0,63401.0,23526,19596,63321.0,447471.58,SILVER,2020-04-05
2020-04-20,63003.0,63654.0,62161.0,63197.0,14340,67500,63401.0,271873.49,SILVER,2020-04-05
2020-04-21,63377.0,63552.0,63028.0,63282.0,68485,20129,63197.0,1300160.33,SILVER,2020-04-05
2020-04-22,61925.0,62348.0,61308.0,61849.0,95052,73394,63282.0,1763661.34,SILVER,2020-04-05
2020-04-23,61582.0,62117.0,61534.0,61707.0,22755,76046,61849.0,421242.84,SILVER,2020-04-05
2020-04-24,61951.0,62507.0,61438.0,61981.0,60397,21596,61707.0,1123039.94,SILVER,2020-04-05
2020-04-27,63069.0,63676.0,62781.0,63074.0,28030,75355,61981.0,530389.27,SILVER,2020-04-05
2020-04-28,62694.0,62983.0,62355.0,62711.0,92060,22974,63074.0,1731952.4,SILVER,2020-04-05
2020-04-29,62181.0,62345.0,61847.0,62139.0,41312,76673,62711.0,770125.91,SILVER,2020-04-05
2020-04-30,61970.0,62060.0,61199.0,61793.0,84400,31818,62139.0,1564598.76,SILVER,2020-04-05
