trade_date,symbol,expiry_date,close,high,low,open,pct_return,candle_body,daily_range,daily_range_pct,price_in_range,momentum_5,momentum_10,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,price_vs_sma20,price_vs_sma50,ATR,BB_width,BB_pct,volume_lots,volume_spike_ratio,is_volume_spike,volume_momentum,volume_change_MA,open_interest,OI_change,OI_change_pct,OI_momentum,price_oi_bullish,RSI,MACD,MACD_signal,rsi_oversold,vol_spike,oi_increasing,price_near_bb_lower,strong_entry_signal,target,return_next_n_pct
2020-01-20,SILVER,2020-02-05,71301.0,71516.0,70899.0,71313.0,0.30668373591435927,12.0,617.0,0.8653455070756371,0.6515397082658023,-425.0,2448.0,70959.8,,,70607.09354185173,69696.31890066662,,,1025.5714285714287,,,17076,,0,17076,36.26958495703443,69405,19014.0,37.73292849913674,1363.6,1,75.76088653035742,910.7746411851112,715.9597565330853,0,0,1,0,0,0,-5.431901375857281
2020-01-21,SILVER,2020-02-05,69746.0,69943.0,69436.0,69943.0,-2.180895078610401,197.0,507.0,0.7269234077939953,0.611439842209073,-1606.0,-358.0,70924.0,,,70474.61761233608,69699.99898209872,,,1090.5714285714287,,,29783,,0,0,26.50389250292634,44948,-24457.0,-35.238095238095234,-2953.0,0,60.96458176337603,774.6186302373535,727.691531273939,0,0,0,0,0,0,-4.317093453388008
2020-01-22,SILVER,2020-02-05,68375.0,68538.0,68154.0,68431.0,-1.965704126401513,56.0,384.0,0.5616087751371115,0.5755208333333334,-3447.0,-1555.0,70768.5,,,70151.59951813053,69601.85090935067,,,1165.142857142857,,,18824,,0,0,28.763434180970584,63031,18083.0,40.230933523182344,5206.8,0,49.79262414527519,549.7486087798607,692.1029467751233,0,0,1,0,0,0,-3.96636197440585
2020-01-23,SILVER,2020-02-05,67945.0,68496.0,67555.0,67828.0,-0.6288848263254154,117.0,941.0,1.3849437044668482,0.41445270988310307,-3508.0,-1812.0,70587.3,,,69812.12266918737,69479.12121236173,,,1156.0714285714287,,,9299,,0,0,27.456765937668983,47921,-15110.0,-23.972331075185227,3364.0,0,47.980125297040395,333.0014568256447,620.2826487852276,0,0,0,0,0,0,-1.668996982853779
2020-01-24,SILVER,2020-02-05,67165.0,67484.0,66548.0,67354.0,-1.1479873427036602,189.0,936.0,1.3935829673192883,0.6591880341880342,-3918.0,-3905.0,70196.8,,,69404.87302777394,69307.70482626086,,,1186.357142857143,,,13118,,0,0,0.8711622270238593,38460,-9461.0,-19.742910206381335,-2386.2,0,41.119528619528616,97.16820151307911,515.6597593307979,0,0,0,0,0,0,-0.7637906647807639
2020-01-27,SILVER,2020-02-05,67428.0,67826.0,67115.0,67523.0,0.3915729918856581,95.0,711.0,1.0544580886278698,0.44022503516174405,-3873.0,-4298.0,69767.0,,,69100.73871580872,69168.46743172302,,,1087.857142857143,,,15756,,0,15756,6.389378877797347,31071,-7389.0,-19.21216848673947,-7666.8,0,34.288398309065286,-67.72871591430157,398.98206428177804,0,0,0,0,0,0,-1.048525834964703
2020-01-28,SILVER,2020-02-05,66735.0,67324.0,66087.0,66676.0,-1.0277629471436178,59.0,1237.0,1.853600059938563,0.5238480194017785,-3011.0,-4617.0,69305.3,69528.8,,68736.77891337662,68988.21058492872,-4.018191023000544,,1118.7142857142858,6667.208250282245,0.08096404145142277,12953,0.7240883909954329,0,0,6.9157744266775465,76118,45047.0,144.980850310579,6234.0,0,32.31876037631433,-251.43167155209812,268.8993171150028,0,0,1,1,0,0,-1.6423166254589048
2020-01-29,SILVER,2020-02-05,65663.0,66034.0,65328.0,65600.0,-1.6063534876751384,63.0,706.0,1.0751869393722493,0.4745042492917847,-2712.0,-6159.0,68689.4,69411.95,,68263.88984978021,68741.8986897488,-5.401015243052525,,1164.5714285714287,7405.287155312195,-0.006253156882739061,20185,1.113962472406181,0,0,15.89569720430631,58282,-17836.0,-23.432039727791064,-949.8,0,29.39400040265754,-478.00883996859193,119.51768569828386,1,0,0,1,0,0,-0.6426754793414861
2020-01-30,SILVER,2020-02-05,66811.0,66865.0,66757.0,66850.0,1.7483209722370274,39.0,108.0,0.16165002769005105,0.5,-1134.0,-4642.0,68225.2,69331.9,,68040.36833442941,68598.86915717482,-3.6359886286110643,,1103.5,7719.140164824763,0.17342217576415533,19674,1.1024411838046382,0,19674,10.818459754074443,68445,10163.0,17.437630829415607,4104.8,1,28.201453577643562,-558.5008227454091,-16.086015990454726,1,0,1,1,0,0,-2.1987397284878236
2020-01-31,SILVER,2020-02-05,66652.0,66881.0,66490.0,66714.0,-0.23798476298813043,62.0,391.0,0.5866290583928464,0.4143222506393862,-513.0,-4431.0,67782.1,69248.55,,67826.77320605566,68454.65662701373,-3.7496091975933106,,1038.2142857142858,8040.6487797938535,0.17707207824757523,38927,2.0262553809476715,1,0,14.86060624493499,64816,-3629.0,-5.302067353349404,5271.2,0,22.638050043140638,-627.8834209580673,-138.44549698397725,1,1,0,1,0,0,-3.246714277140971
